id,a,b,c,d,e,f,g,h,sex,age,region,l,job_title,education,marriage,children,property,r,employment_status,t,u,v,w,x
44510,0.074475,0.074475,39.22,744.78,0.37239,0.37239,5,0.0,Woman,45.833333333333336,e,67,Head/Deputy head (division),Higher education (one or more),Single/unmarried,0 Zero,property,Yes,No couple,Yes,Yes,No,Yes,Yes
30431,0.1813,0.1813,68.02,271.98,0.9066,0.9066,5,0.0,Woman,51.833333333333336,c,84,NE employee,Secondary education (plus special education),Single/unmarried,0 Zero,property,No,No couple,Yes,Yes,No,No,Yes
67740,0.1369636363636363,0.0941625,39.67,753.33,0.6848454545454545,0.47083125,5,0.0,Man,30.666666666666668,g,92,NE employee,Secondary education (plus special education),Married,1 One,property,No,Works,Yes,Yes,No,Yes,No
33136,0.0713166666666666,0.0713166666666666,45.0,854.0,1.4233333333333331,1.4233333333333331,20,0.01,Woman,46.91666666666666,e,144,NE employee,Higher education (one or more),Divorced/widow,1 One,property,No,No couple,Yes,Yes,No,No,Yes
2797,0.0328333333333333,0.0328333333333333,21.46,193.44,0.3224,0.3224,13,2.49,Man,32.833333333333336,d,126,NE employee,Secondary education (plus special education),Married,2 Two,property,No,Unemployed,Yes,Yes,No,Yes,Yes
3950,0.0901599999999999,0.072128,0.0,931.25,0.93125,0.745,13,1.99,Man,34.166666666666664,f,5,NE employee,Higher education (one or more),Married,2 Two,otherwise,No,Works,No,Yes,No,Yes,No
3201,0.0967111111111111,0.0967111111111111,22.46,427.44,0.9498666666666666,0.9498666666666666,13,2.49,Woman,49.5,c,24,NE employee,Higher education (one or more),Divorced/widow,1 One,property,No,No couple,Yes,Yes,No,No,No
652,0.0697714285714285,0.0348857142857142,0.0,239.9,0.6854285714285715,0.3427142857142857,13,2.49,Woman,54.5,d,288,NE employee,Secondary education (plus special education),Married,1 One,property,No,Works,Yes,Yes,No,Yes,No
14268,0.0914666666666666,0.0914666666666666,105.31,164.69,0.3659777777777778,0.3659777777777778,4,0.0,Woman,39.91666666666666,d,84,NE employee,Secondary education (plus special education),Divorced/widow,1 One,property,No,No couple,Yes,Yes,No,Yes,No
57743,0.0428714285714285,0.0428714285714285,74.96,300.03,0.4286142857142856,0.4286142857142856,10,0.0,Woman,23.83333333333333,e,24,NE employee,Higher education (one or more),Married,0 Zero,property,No,Works,Yes,Yes,Yes,No,No
39617,0.2148727272727273,0.147725,377.77,590.93,1.0744181818181815,0.7386624999999999,5,0.0,Man,33.083333333333336,g,120,NE employee,Secondary education (plus special education),Married,1 One,property,No,Works,Yes,No,No,No,No
65919,0.0509047619047619,0.0509047619047619,11.26,213.73,0.5088809523809523,0.5088809523809523,10,0.0,Woman,28.33333333333333,g,4,Head/Deputy head (division),Higher education (one or more),Single/unmarried,0 Zero,property,No,No couple,Yes,Yes,No,Yes,Yes
81044,0.0312,0.0312,17.93,161.07,0.32214,0.32214,13,1.99,Woman,32.916666666666664,g,12,NE employee,Higher education (one or more),Divorced/widow,1 One,property,No,No couple,Yes,Yes,No,Yes,No
30657,0.3942166666666666,0.2150272727272727,37.34,709.66,1.1827666666666663,0.6451454545454545,3,0.0,Man,38.16666666666666,e,34,NE employee,Secondary education (plus special education),Married,2 Two,property,Yes,Works,Yes,Yes,No,No,Yes
25139,0.0485157894736842,0.0485157894736842,52.94,476.06,0.5011157894736842,0.5011157894736842,13,1.99,Woman,38.583333333333336,e,192,NE employee,Secondary education (plus special education),Single/unmarried,3 Three,property,No,No couple,Yes,No,No,No,No
58819,0.0187111111111111,0.0187111111111111,41.9,168.0,0.3733333333333333,0.3733333333333333,20,0.01,Man,26.08333333333333,c,24,NE employee,Secondary education (plus special education),Single/unmarried,0 Zero,property,No,No couple,No,No,No,No,No
4940,0.0921642857142857,0.0921642857142857,140.76,1267.24,0.9051714285714286,0.9051714285714286,13,2.49,Man,30.83333333333333,c,62,Head/Deputy head (division),Higher education (one or more),Married,2 Two,property,Yes,Unemployed,Yes,Yes,No,Yes,No
15344,0.2177166666666666,0.1004846153846153,68.76,1306.23,2.17705,1.0047923076923078,10,0.0,Woman,47.333333333333336,b,255,NE employee,Secondary education (plus special education),Married,1 One,property,No,Works,Yes,Yes,No,Yes,No
14010,0.1348333333333333,0.1348333333333333,64.75,194.25,0.2697916666666666,0.2697916666666666,2,0.0,Man,34.333333333333336,e,66,NE employee,Higher education (one or more),Married,1 One,property,Yes,Unemployed,Yes,Yes,No,No,No
